geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
PA14_05020,3,9,7,3,5,5
PA14_05030,7,11,10,10,9,14
PA14_05040,11,16,6,12,10,11
PA14_05050,80,69,48,75,44,66
PA14_05060,148,138,103,143,48,179
"PA14_05070,metW",58,63,45,41,43,56
"PA14_05080,metX",76,95,29,48,20,45
PA14_05110,100,90,84,132,92,116
PA14_05120,1,7,4,2,12,8
PA14_05130,193,317,200,238,246,258
"PA14_05150,proC",55,85,37,79,42,49
PA14_05160,102,114,73,97,94,104
"PA14_05180,pilT",152,203,138,201,123,229
"PA14_05190,pilU",260,264,222,329,268,356
"PA14_05200,czcD",42,76,49,34,65,76
PA14_05210,47,65,46,63,41,46
PA14_05220,171,243,140,189,179,155
PA14_05230,119,173,128,131,217,161
"PA14_05250,pyrC",61,59,51,61,80,56
"PA14_05260,pyrB",108,146,88,100,142,129
"PA14_05270,pyrR",33,87,38,49,49,36
"PA14_05280,yqgF",12,22,13,14,7,14
"PA14_05290,algH",22,45,27,38,25,28
PA14_05300,52,77,51,83,51,74
"PA14_05310,gshB",85,111,89,90,88,108
"PA14_05320,pilG",623,694,470,606,374,912
"PA14_05330,pilH",246,229,208,251,219,324
"PA14_05340,pilI",170,131,107,202,94,287
"PA14_05360,pilJ",461,459,451,552,453,680
"PA14_05380,pilK",219,173,172,202,231,365
"PA14_05390,chpA",804,728,631,799,914,896
PA14_05400,61,68,42,72,84,87
"PA14_05410,chpC",18,27,8,22,22,22
"PA14_05420,chpD",20,26,10,11,21,13
"PA14_05430,chpE",2,2,2,2,1,1
PA14_05440,52,63,35,68,75,44
PA14_05450,17,16,9,17,9,14
"PA14_05460,bioA",88,88,88,112,80,102
PA14_05480,183,221,121,214,137,198
PA14_05500,568,936,527,746,609,594
"PA14_05510,yceI",367,623,418,448,349,505
"PA14_05520,mexR",42,45,20,33,34,22
"PA14_05530,mexA",307,340,288,373,269,411
"PA14_05540,mexB",960,1128,956,1254,861,1530
"PA14_05550,oprM",394,397,329,536,371,536
"PA14_05560,rhlE",475,294,377,621,427,567
PA14_05580,583,659,425,622,529,660
"PA14_05590,metF",195,205,151,248,119,315
PA14_05600,106,115,85,164,107,153
"PA14_05620,sahH",933,954,735,1211,586,1271
PA14_05630,12,30,23,13,24,11
"PA14_05640,bfrG",29,53,32,55,20,46
PA14_05650,7,2,3,8,5,8
PA14_05660,177,237,132,182,143,155
"PA14_05690,codA",38,51,19,45,25,40
"PA14_05700,codB",9,14,8,13,16,19
"PA14_05740,pydA",3,9,0,3,3,4
"PA14_05750,gltX",1,4,1,0,1,1
"PA14_05770,dhT",10,35,7,6,3,5
PA14_05775,0,0,1,2,1,0
PA14_05790,12,23,5,5,8,6
"PA14_05810,amaB",9,10,6,4,7,11
PA14_05820,29,36,30,34,34,37
"PA14_05840,gcdH",94,120,131,129,103,122
PA14_05850,32,29,18,29,24,42
PA14_05860,105,117,105,133,53,104
